id,brand,name,colorFamily,hexColor,inkType
ink_w116,글입다,공포의 계곡,,,sheen
ink_w117,글입다,가을 속의 별들,,,shimmer
ink_w118,글입다,햄릿,,,shimmer
ink_w119,글입다,위키드 위치,,,sheen
ink_w120,글입다,인형의 집,,,sheen
ink_w121,글입다,소영위제,,,shimmer
ink_w122,글입다,프랑켄슈타인,,,shimmer
ink_w123,글입다,위대한 개츠비,,,sheen
ink_w124,글입다,메데이아 벨리아르,,,shimmer
ink_w125,글입다,베레트라그나,,,sheen
ink_w126,글입다,페르세포네,,,shimmer
ink_w127,글입다,에드워드 하이드,,,sheen
ink_w128,글입다,네 사람의 서명,,,shimmer
ink_w129,글입다,갈까마귀,,,shimmer
ink_w130,글입다,인간실격,,,normal
ink_w131,글입다,포도빛 밤,,,shimmer
ink_w132,글입다,슬픈 천명,,,normal
ink_w133,글입다,츠쿠요미,,,normal
ink_w134,글입다,제인 에어,,,normal
ink_w135,글입다,이해 없는 세상에서,,,normal
ink_w136,글입다,해가 지는 곳으로,,,normal
ink_w137,글입다,소공녀,,,shimmer
ink_w138,글입다,꿈속의 꿈,,,shimmer
ink_w139,글입다,누아다 아르게틀람,,,shimmer
ink_w140,글입다,도리언 그레이의 초상,,,normal
ink_w141,글입다,양철 나무꾼,,,normal
ink_w142,글입다,거울 속의 나,,,shimmer
ink_w143,글입다,헬리오 트로피움,,,shimmer
ink_w144,글입다,멕베스,,,shimmer
ink_w145,글입다,로미오,,,shimmer
ink_w146,글입다,하데스,,,shimmer
ink_w147,글입다,검은 튤립,,,shimmer
ink_w148,글입다,검은 꿈,,,shimmer
ink_w149,글입다,지옥,,,sheen
ink_w150,글입다,파우스트,,,sheen
ink_w151,글입다,나르치스와 골드문트,,,shimmer
ink_w152,글입다,달을 쏘다,,,normal
ink_w153,글입다,빛 죽은 반달,,,shimmer
ink_w154,글입다,나는 고양이로소이다,,,shimmer
ink_w155,글입다,젊은 베르테르의 슬픔,,,normal
ink_w156,글입다,미운 오리 새끼,,,normal
ink_w157,글입다,자기만의 방,,,shimmer
ink_w158,글입다,리어 왕,,,shimmer
ink_w159,글입다,페스트,,,sheen
